cn_id,hateSpeech,counterSpeech,split,cn_keyword,num_cn_keyword,hs_keyword,num_hs_keyword,num_doc_retrieved
ENT1ST0001HS0046CN000017,The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!,"The only cover up I remember was in the Catholic Church, but we remember that the actions of individuals do not reflect on the whole.",train,"actions of individuals, only cover, Catholic Church, whole",4,"muslim grooming gangs, own people, politicians, police, covering",5,292506
ENT1ST0001HS0046CN000017P1,Muslims grooming gangs are protected by the government and the police. This is a betrayal!,"The only cover up I remember was in the Catholic Church, but we remember that the actions of individuals do not reflect on the whole.",valid,"actions of individuals, only cover, Catholic Church, whole",4,"government, Muslims grooming, betrayal, police, gangs",5,418344
ENT1ST0001HS0046CN000017P2,The police and the government are defending muslim gangs and they must be considered as traitors of our society.,"The only cover up I remember was in the Catholic Church, but we remember that the actions of individuals do not reflect on the whole.",test,"actions of individuals, only cover, Catholic Church, whole",4,"government, muslim gangs, defending, society, traitors",5,361990
ENT1ST0001HS0046CN000018,The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!,"Good job the police are so effective at catching and prosecuting non-Muslim sex-offenders and protecting their victims. Oh, wait.",train,"non-muslim sex-offenders, good job, victims, protecting, police",5,"muslim grooming gangs, own people, politicians, police, covering",5,240341
ENT1ST0001HS0046CN000018P1,Muslims grooming gangs are protected by the government and the police. This is a betrayal!,"Good job the police are so effective at catching and prosecuting non-Muslim sex-offenders and protecting their victims. Oh, wait.",valid,"non-muslim sex-offenders, good job, victims, protecting, police",5,"government, Muslims grooming, betrayal, police, gangs",5,367807
ENT1ST0001HS0046CN000018P2,The police and the government are defending muslim gangs and they must be considered as traitors of our society.,"Good job the police are so effective at catching and prosecuting non-Muslim sex-offenders and protecting their victims. Oh, wait.",test,"non-muslim sex-offenders, good job, victims, protecting, police",5,"government, muslim gangs, defending, society, traitors",5,408042
ENT1ST0001HS0046CN000019,The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!,The only reason these gangs exist in the first place is because they do not have an institution like the BBC or the Church to shield them.,train,"institution, only reason, first place, Bbc, Church",5,"muslim grooming gangs, own people, politicians, police, covering",5,271245
ENT1ST0001HS0046CN000019P1,Muslims grooming gangs are protected by the government and the police. This is a betrayal!,The only reason these gangs exist in the first place is because they do not have an institution like the BBC or the Church to shield them.,valid,"institution, only reason, first place, Bbc, Church",5,"government, Muslims grooming, betrayal, police, gangs",5,396898
ENT1ST0001HS0046CN000019P2,The police and the government are defending muslim gangs and they must be considered as traitors of our society.,The only reason these gangs exist in the first place is because they do not have an institution like the BBC or the Church to shield them.,test,"institution, only reason, first place, Bbc, Church",5,"government, muslim gangs, defending, society, traitors",5,342568
ENT1ST0001HS0046CN000020,The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!,The only traitors are the conspiracy theorists who spread this kind of misinformation.,train,"kind of misinformation, conspiracy theorists, only traitors",3,"muslim grooming gangs, own people, politicians, police, covering",5,197433
ENT1ST0001HS0046CN000020P1,Muslims grooming gangs are protected by the government and the police. This is a betrayal!,The only traitors are the conspiracy theorists who spread this kind of misinformation.,valid,"kind of misinformation, conspiracy theorists, only traitors",3,"government, Muslims grooming, betrayal, police, gangs",5,336285
ENT1ST0001HS0046CN000020P2,The police and the government are defending muslim gangs and they must be considered as traitors of our society.,The only traitors are the conspiracy theorists who spread this kind of misinformation.,test,"kind of misinformation, conspiracy theorists, only traitors",3,"government, muslim gangs, defending, society, traitors",5,279368
ENT1ST0001HS0054CN000058,Shocking. 2 men are murdered in Paris by having their throats cut by some savage shouting 'Allahu Akbar' and the BBC ignore the story. Another cover up.,"The only cover up that happens in the media is of the positive stories about Muslims, extremist actions are the only ones ever highlighted.",train,"stories about Muslims, positive stories, only cover, only ones, extremist actions",5,"savage shouting, Allahu Akbar, shocking, throats, men",5,147365
ENT1ST0001HS0054CN000058P1,"Is strange that BBC hadn't reported the murder of two men in Paris, they were killed by a Muslim shouting 'Allah Akbar'.","The only cover up that happens in the media is of the positive stories about Muslims, extremist actions are the only ones ever highlighted.",valid,"stories about Muslims, positive stories, only cover, only ones, extremist actions",5,"men in Paris, muslim shouting, Allah Akbar, strange, Bbc",5,46837
ENT1ST0001HS0054CN000058P2,"The BBC is covering Muslims: in Paris there was an attack where 2 men were killed and the murderers shouted 'allahu akbar', but the BBC said nothing about this. Disgusting.","The only cover up that happens in the media is of the positive stories about Muslims, extremist actions are the only ones ever highlighted.",test,"stories about Muslims, positive stories, only cover, only ones, extremist actions",5,"Bbc, Paris, covering, attack, disgusting",5,174932
ENT1ST0001HS0054CN000059,Shocking. 2 men are murdered in Paris by having their throats cut by some savage shouting 'Allahu Akbar' and the BBC ignore the story. Another cover up.,Is this true? Where is your source?,train,nan,0,"savage shouting, Allahu Akbar, shocking, throats, men",5,0
ENT1ST0001HS0054CN000059P1,"Is strange that BBC hadn't reported the murder of two men in Paris, they were killed by a Muslim shouting 'Allah Akbar'.",Is this true? Where is your source?,valid,nan,0,"men in Paris, muslim shouting, Allah Akbar, strange, Bbc",5,0
ENT1ST0001HS0054CN000059P2,"The BBC is covering Muslims: in Paris there was an attack where 2 men were killed and the murderers shouted 'allahu akbar', but the BBC said nothing about this. Disgusting.",Is this true? Where is your source?,test,nan,0,"Bbc, Paris, covering, attack, disgusting",5,0
ENT1ST0001HS0054CN000060,Shocking. 2 men are murdered in Paris by having their throats cut by some savage shouting 'Allahu Akbar' and the BBC ignore the story. Another cover up.,The BBC also neglects to report on many violent or terrorist far-right extremist and Islamophobic crimes. What is your point?,train,"terrorist far-right extremist, islamophobic crimes, violent, point, Bbc",5,"savage shouting, Allahu Akbar, shocking, throats, men",5,359068
ENT1ST0001HS0054CN000060P1,"Is strange that BBC hadn't reported the murder of two men in Paris, they were killed by a Muslim shouting 'Allah Akbar'.",The BBC also neglects to report on many violent or terrorist far-right extremist and Islamophobic crimes. What is your point?,valid,"terrorist far-right extremist, islamophobic crimes, violent, point, Bbc",5,"men in Paris, muslim shouting, Allah Akbar, strange, Bbc",5,277405
ENT1ST0001HS0054CN000060P2,"The BBC is covering Muslims: in Paris there was an attack where 2 men were killed and the murderers shouted 'allahu akbar', but the BBC said nothing about this. Disgusting.",The BBC also neglects to report on many violent or terrorist far-right extremist and Islamophobic crimes. What is your point?,test,"terrorist far-right extremist, islamophobic crimes, violent, point, Bbc",5,"Bbc, Paris, covering, attack, disgusting",5,370028
ENT1ST0001HS0054CN000061,Shocking. 2 men are murdered in Paris by having their throats cut by some savage shouting 'Allahu Akbar' and the BBC ignore the story. Another cover up.,"Mate, the media is constantly biased against Muslims and tries to make them out to be the enemy. What we hardly ever see is the many more positive stories.",train,"many more positive stories, enemy, Muslims, media",4,"savage shouting, Allahu Akbar, shocking, throats, men",5,295360
ENT1ST0001HS0054CN000061P1,"Is strange that BBC hadn't reported the murder of two men in Paris, they were killed by a Muslim shouting 'Allah Akbar'.","Mate, the media is constantly biased against Muslims and tries to make them out to be the enemy. What we hardly ever see is the many more positive stories.",valid,"many more positive stories, enemy, Muslims, media",4,"men in Paris, muslim shouting, Allah Akbar, strange, Bbc",5,217768
ENT1ST0001HS0054CN000061P2,"The BBC is covering Muslims: in Paris there was an attack where 2 men were killed and the murderers shouted 'allahu akbar', but the BBC said nothing about this. Disgusting.","Mate, the media is constantly biased against Muslims and tries to make them out to be the enemy. What we hardly ever see is the many more positive stories.",test,"many more positive stories, enemy, Muslims, media",4,"Bbc, Paris, covering, attack, disgusting",5,313212
ENT1ST0001HS0074CN000062,"Only a few people were punished for yesterday's violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.",I thought we'd stopped exporting our convicted criminals last century. Now you advocate exporting people without a trial or a conviction.,train,"conviction, exporting, last century, people, trial",5,"yesterday 's violations, government, few people, violent Muslims, common people",5,663799
ENT1ST0001HS0074CN000062P1,"All the Muslims should have been punished for yesterday, not only a few. Citizens will take action if the government does not do anything.",I thought we'd stopped exporting our convicted criminals last century. Now you advocate exporting people without a trial or a conviction.,valid,"conviction, exporting, last century, people, trial",5,"government, yesterday, Citizens, Muslims",4,686698
ENT1ST0001HS0074CN000062P2,"Muslims have committed a crime two days ago and yesterday the court did not punish all of them. All the common citizens should punish them properly, if the nation does not do anything to counter the violent Muslims.",I thought we'd stopped exporting our convicted criminals last century. Now you advocate exporting people without a trial or a conviction.,test,"conviction, exporting, last century, people, trial",5,"nation, common citizens, violent Muslims, Muslims, court",5,659396
ENT1ST0001HS0074CN000063,"Only a few people were punished for yesterday's violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.",I think the government has a very good understanding of who should be deported and members of the public should leave this type of decisions to them?,train,"type of decisions, government, good understanding, public, members",5,"yesterday 's violations, government, few people, violent Muslims, common people",5,466665
ENT1ST0001HS0074CN000063P1,"All the Muslims should have been punished for yesterday, not only a few. Citizens will take action if the government does not do anything.",I think the government has a very good understanding of who should be deported and members of the public should leave this type of decisions to them?,valid,"type of decisions, government, good understanding, public, members",5,"government, yesterday, Citizens, Muslims",4,497582
ENT1ST0001HS0074CN000063P2,"Muslims have committed a crime two days ago and yesterday the court did not punish all of them. All the common citizens should punish them properly, if the nation does not do anything to counter the violent Muslims.",I think the government has a very good understanding of who should be deported and members of the public should leave this type of decisions to them?,test,"type of decisions, government, good understanding, public, members",5,"nation, common citizens, violent Muslims, Muslims, court",5,548210
ENT1ST0001HS0074CN000064,"Only a few people were punished for yesterday's violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.",If they were violent they would have been punished too. Why do you think someone of a certain religion is automatically guilty?,train,"certain religion, violent, guilty",3,"yesterday 's violations, government, few people, violent Muslims, common people",5,275948
ENT1ST0001HS0074CN000064P1,"All the Muslims should have been punished for yesterday, not only a few. Citizens will take action if the government does not do anything.",If they were violent they would have been punished too. Why do you think someone of a certain religion is automatically guilty?,valid,"certain religion, violent, guilty",3,"government, yesterday, Citizens, Muslims",4,321142
ENT1ST0001HS0074CN000064P2,"Muslims have committed a crime two days ago and yesterday the court did not punish all of them. All the common citizens should punish them properly, if the nation does not do anything to counter the violent Muslims.",If they were violent they would have been punished too. Why do you think someone of a certain religion is automatically guilty?,test,"certain religion, violent, guilty",3,"nation, common citizens, violent Muslims, Muslims, court",5,237048
ENT1ST0001HS0074CN000065,"Only a few people were punished for yesterday's violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.","In fact, the government deports those criminals back to their countries.",train,"government, criminals, countries",3,"yesterday 's violations, government, few people, violent Muslims, common people",5,282069
ENT1ST0001HS0074CN000065P1,"All the Muslims should have been punished for yesterday, not only a few. Citizens will take action if the government does not do anything.","In fact, the government deports those criminals back to their countries.",valid,"government, criminals, countries",3,"government, yesterday, Citizens, Muslims",4,325739
ENT1ST0001HS0074CN000065P2,"Muslims have committed a crime two days ago and yesterday the court did not punish all of them. All the common citizens should punish them properly, if the nation does not do anything to counter the violent Muslims.","In fact, the government deports those criminals back to their countries.",test,"government, criminals, countries",3,"nation, common citizens, violent Muslims, Muslims, court",5,400122
ENT1ST0001HS0074CN000066,"Only a few people were punished for yesterday's violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.","What happened to the good old British values of stuff like 'tolerance' and 'respect for the rule of law' - what you are suggesting sounds like mob rule, vigilante action and people running around with burning torches?",train,"vigilante action, sounds like mob rule, good old british values, values of stuff, rule of law",5,"yesterday 's violations, government, few people, violent Muslims, common people",5,232670
ENT1ST0001HS0074CN000066P1,"All the Muslims should have been punished for yesterday, not only a few. Citizens will take action if the government does not do anything.","What happened to the good old British values of stuff like 'tolerance' and 'respect for the rule of law' - what you are suggesting sounds like mob rule, vigilante action and people running around with burning torches?",valid,"vigilante action, sounds like mob rule, good old british values, values of stuff, rule of law",5,"government, yesterday, Citizens, Muslims",4,281798
ENT1ST0001HS0074CN000066P2,"Muslims have committed a crime two days ago and yesterday the court did not punish all of them. All the common citizens should punish them properly, if the nation does not do anything to counter the violent Muslims.","What happened to the good old British values of stuff like 'tolerance' and 'respect for the rule of law' - what you are suggesting sounds like mob rule, vigilante action and people running around with burning torches?",test,"vigilante action, sounds like mob rule, good old british values, values of stuff, rule of law",5,"nation, common citizens, violent Muslims, Muslims, court",5,203445
ENT1ST0001HS0074CN000067,"Only a few people were punished for yesterday's violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.","Are you suggesting to commit a crime? There are courts for punishment and if the crowd does the punishment itself, you will become criminals.",train,"courts for punishment, punishment, criminals, crime, crowd",5,"yesterday 's violations, government, few people, violent Muslims, common people",5,320462
ENT1ST0001HS0074CN000067P1,"All the Muslims should have been punished for yesterday, not only a few. Citizens will take action if the government does not do anything.","Are you suggesting to commit a crime? There are courts for punishment and if the crowd does the punishment itself, you will become criminals.",valid,"courts for punishment, punishment, criminals, crime, crowd",5,"government, yesterday, Citizens, Muslims",4,362178
ENT1ST0001HS0074CN000067P2,"Muslims have committed a crime two days ago and yesterday the court did not punish all of them. All the common citizens should punish them properly, if the nation does not do anything to counter the violent Muslims.","Are you suggesting to commit a crime? There are courts for punishment and if the crowd does the punishment itself, you will become criminals.",test,"courts for punishment, punishment, criminals, crime, crowd",5,"nation, common citizens, violent Muslims, Muslims, court",5,284970
ENT1ST0001HS0074CN000068,"Only a few people were punished for yesterday's violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.","The ones who deserved to be punished, were punished. If others are innocent, clearly they do not deserve to be penalized?",train,innocent,1,"yesterday 's violations, government, few people, violent Muslims, common people",5,242930
ENT1ST0001HS0074CN000068P1,"All the Muslims should have been punished for yesterday, not only a few. Citizens will take action if the government does not do anything.","The ones who deserved to be punished, were punished. If others are innocent, clearly they do not deserve to be penalized?",valid,innocent,1,"government, yesterday, Citizens, Muslims",4,290920
ENT1ST0001HS0074CN000068P2,"Muslims have committed a crime two days ago and yesterday the court did not punish all of them. All the common citizens should punish them properly, if the nation does not do anything to counter the violent Muslims.","The ones who deserved to be punished, were punished. If others are innocent, clearly they do not deserve to be penalized?",test,innocent,1,"nation, common citizens, violent Muslims, Muslims, court",5,211837
ENT1ST0001HS0074CN000069,"Only a few people were punished for yesterday's violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.",Who are 'all them violent muslims'? Are you sure you are proficient to judge who's guilty and who's not?,train,"violent muslims, guilty, proficient",3,"yesterday 's violations, government, few people, violent Muslims, common people",5,258302
ENT1ST0001HS0074CN000069P1,"All the Muslims should have been punished for yesterday, not only a few. Citizens will take action if the government does not do anything.",Who are 'all them violent muslims'? Are you sure you are proficient to judge who's guilty and who's not?,valid,"violent muslims, guilty, proficient",3,"government, yesterday, Citizens, Muslims",4,305797
ENT1ST0001HS0074CN000069P2,"Muslims have committed a crime two days ago and yesterday the court did not punish all of them. All the common citizens should punish them properly, if the nation does not do anything to counter the violent Muslims.",Who are 'all them violent muslims'? Are you sure you are proficient to judge who's guilty and who's not?,test,"violent muslims, guilty, proficient",3,"nation, common citizens, violent Muslims, Muslims, court",5,218507
ENT1ST0001HS0074CN000070,"Only a few people were punished for yesterday's violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.",An entire faith? Really? Can you not see how ignorant this is?,train,"entire faith, ignorant",2,"yesterday 's violations, government, few people, violent Muslims, common people",5,233814
ENT1ST0001HS0074CN000070P1,"All the Muslims should have been punished for yesterday, not only a few. Citizens will take action if the government does not do anything.",An entire faith? Really? Can you not see how ignorant this is?,valid,"entire faith, ignorant",2,"government, yesterday, Citizens, Muslims",4,282866
ENT1ST0001HS0074CN000070P2,"Muslims have committed a crime two days ago and yesterday the court did not punish all of them. All the common citizens should punish them properly, if the nation does not do anything to counter the violent Muslims.",An entire faith? Really? Can you not see how ignorant this is?,test,"entire faith, ignorant",2,"nation, common citizens, violent Muslims, Muslims, court",5,204129
ENT1ST0001HS0092CN000001,"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.",Are you blaming all communities for the action of a few? Doesn't seem very fair does it?,train,"blaming, communities, fair",3,"bunch of violent criminals, Fuck Isis, Fuck Islam, safer place, Britain",5,131356
ENT1ST0001HS0092CN000001P1,I am done with Islam and isis. All Muslims should be sent to their homeland. Britain will be better without their violence and ideology.,Are you blaming all communities for the action of a few? Doesn't seem very fair does it?,valid,"blaming, communities, fair",3,"violence, Britain, Islam, isis, homeland",5,202462
ENT1ST0001HS0092CN000001P2,"Islam and ISIS should go to hell. All Muslims should be immediately sent to their country, because they are all intolerant criminals. If we do so, Britain will be a safer place.",Are you blaming all communities for the action of a few? Doesn't seem very fair does it?,test,"blaming, communities, fair",3,"intolerant criminals, safer place, Isis, Islam, hell",5,137912
ENT1ST0001HS0092CN000002,"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.","Could you mind your language? You are insulting millions of people who are Muslims. Isis are war criminals, but why are you equaling them with all Muslims?",train,"millions of people, language, Muslims, war criminals, insulting millions",5,"bunch of violent criminals, Fuck Isis, Fuck Islam, safer place, Britain",5,110545
ENT1ST0001HS0092CN000002P1,I am done with Islam and isis. All Muslims should be sent to their homeland. Britain will be better without their violence and ideology.,"Could you mind your language? You are insulting millions of people who are Muslims. Isis are war criminals, but why are you equaling them with all Muslims?",valid,"millions of people, language, Muslims, war criminals, insulting millions",5,"violence, Britain, Islam, isis, homeland",5,178354
ENT1ST0001HS0092CN000002P2,"Islam and ISIS should go to hell. All Muslims should be immediately sent to their country, because they are all intolerant criminals. If we do so, Britain will be a safer place.","Could you mind your language? You are insulting millions of people who are Muslims. Isis are war criminals, but why are you equaling them with all Muslims?",test,"millions of people, language, Muslims, war criminals, insulting millions",5,"intolerant criminals, safer place, Isis, Islam, hell",5,113639
ENT1ST0001HS0092CN000003,"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.","The truth is the worldwide Muslims denounce ISIS and its violence. Plus, many Muslims are the victims of ISIS. According to <The Guardian>, 'Isis regularly publishes a hit-list of global Muslim leaders in its online magazine, which certainly helps to explain why Muslims from Syria and Iraq may want to migrate to countries like Australia.'.",train,"Muslims from Syria, global muslim leaders, victims of Isis, countries like Australia, violence",5,"bunch of violent criminals, Fuck Isis, Fuck Islam, safer place, Britain",5,91583
ENT1ST0001HS0092CN000003P1,I am done with Islam and isis. All Muslims should be sent to their homeland. Britain will be better without their violence and ideology.,"The truth is the worldwide Muslims denounce ISIS and its violence. Plus, many Muslims are the victims of ISIS. According to <The Guardian>, 'Isis regularly publishes a hit-list of global Muslim leaders in its online magazine, which certainly helps to explain why Muslims from Syria and Iraq may want to migrate to countries like Australia.'.",valid,"Muslims from Syria, global muslim leaders, victims of Isis, countries like Australia, violence",5,"violence, Britain, Islam, isis, homeland",5,119146
ENT1ST0001HS0092CN000003P2,"Islam and ISIS should go to hell. All Muslims should be immediately sent to their country, because they are all intolerant criminals. If we do so, Britain will be a safer place.","The truth is the worldwide Muslims denounce ISIS and its violence. Plus, many Muslims are the victims of ISIS. According to <The Guardian>, 'Isis regularly publishes a hit-list of global Muslim leaders in its online magazine, which certainly helps to explain why Muslims from Syria and Iraq may want to migrate to countries like Australia.'.",test,"Muslims from Syria, global muslim leaders, victims of Isis, countries like Australia, violence",5,"intolerant criminals, safer place, Isis, Islam, hell",5,96254
ENT1ST0001HS0092CN000004,"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.",Positive news stories*.,train,positive news stories,1,"bunch of violent criminals, Fuck Isis, Fuck Islam, safer place, Britain",5,0
ENT1ST0001HS0092CN000004P1,I am done with Islam and isis. All Muslims should be sent to their homeland. Britain will be better without their violence and ideology.,Positive news stories*.,valid,positive news stories,1,"violence, Britain, Islam, isis, homeland",5,0
ENT1ST0001HS0092CN000004P2,"Islam and ISIS should go to hell. All Muslims should be immediately sent to their country, because they are all intolerant criminals. If we do so, Britain will be a safer place.",Positive news stories*.,test,positive news stories,1,"intolerant criminals, safer place, Isis, Islam, hell",5,0
